id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response,DecisionTree,RandomForest,VotingClassifierSoft
380110,Male,30,1,28.0,1,< 1 Year,No,50094.0,152.0,38,0,0,0,0
380111,Male,45,1,8.0,1,1-2 Year,No,44110.0,26.0,110,0,0,0,0
380112,Female,20,1,37.0,0,< 1 Year,Yes,47019.0,160.0,104,0,1,1,1
380113,Female,22,1,28.0,0,< 1 Year,Yes,2630.0,160.0,42,1,1,1,1
380114,Female,32,1,30.0,1,< 1 Year,No,31210.0,152.0,136,0,0,0,0
380115,Male,50,1,28.0,0,1-2 Year,Yes,50308.0,26.0,121,0,1,1,1
380116,Female,26,1,36.0,1,< 1 Year,No,29637.0,152.0,130,0,0,0,0
380117,Male,21,1,35.0,1,< 1 Year,No,27024.0,160.0,148,0,0,0,0
380118,Male,24,1,10.0,0,< 1 Year,No,30499.0,152.0,281,0,1,1,1
380119,Female,22,1,13.0,0,< 1 Year,Yes,29259.0,152.0,236,1,1,1,1
380120,Female,21,1,28.0,1,< 1 Year,No,92283.0,152.0,15,0,0,0,0
380121,Female,23,1,13.0,1,< 1 Year,No,24636.0,152.0,122,0,0,0,0
380122,Male,28,1,21.0,1,< 1 Year,No,22765.0,152.0,204,0,0,0,0
380123,Female,22,1,18.0,0,< 1 Year,Yes,25530.0,152.0,59,0,1,1,1
380124,Male,46,1,28.0,0,1-2 Year,Yes,2630.0,122.0,275,1,1,1,1
380125,Female,22,1,28.0,0,< 1 Year,Yes,27441.0,152.0,103,0,1,1,1
380126,Female,25,1,36.0,1,< 1 Year,No,32301.0,152.0,53,0,0,0,0
380127,Female,23,1,8.0,1,< 1 Year,No,38528.0,152.0,71,0,0,0,0
380128,Male,46,1,8.0,0,1-2 Year,Yes,31243.0,124.0,269,0,1,1,1
380129,Female,22,1,8.0,0,< 1 Year,Yes,46472.0,152.0,176,0,1,1,1
380130,Male,39,1,28.0,1,1-2 Year,No,33726.0,26.0,10,0,0,0,0
380131,Male,40,1,32.0,1,1-2 Year,No,27859.0,124.0,295,0,0,0,0
380132,Female,33,1,28.0,0,1-2 Year,Yes,43090.0,124.0,210,0,1,1,1
380133,Female,45,1,28.0,0,1-2 Year,Yes,30711.0,26.0,22,1,1,1,1
380134,Female,23,1,47.0,1,< 1 Year,No,36293.0,152.0,191,0,0,0,0
380135,Male,33,1,6.0,0,1-2 Year,Yes,2630.0,157.0,157,1,1,1,1
380136,Female,25,1,15.0,0,< 1 Year,No,35279.0,152.0,60,0,1,1,1
380137,Female,38,1,34.0,1,1-2 Year,No,2630.0,124.0,232,0,0,0,0
380138,Female,58,1,21.0,0,1-2 Year,Yes,29819.0,26.0,134,0,1,1,1
380139,Male,67,1,28.0,0,1-2 Year,Yes,45616.0,122.0,91,0,1,1,1
380140,Female,68,1,37.0,0,1-2 Year,Yes,2630.0,156.0,76,0,1,1,1
380141,Male,45,1,8.0,1,1-2 Year,No,39930.0,124.0,60,0,0,0,0
380142,Female,43,1,28.0,0,1-2 Year,Yes,42130.0,24.0,282,0,1,1,1
380143,Male,67,1,28.0,0,> 2 Years,Yes,47676.0,26.0,160,0,1,1,1
380144,Male,21,1,9.0,0,< 1 Year,Yes,21615.0,160.0,35,0,1,1,1
380145,Female,73,1,50.0,0,1-2 Year,Yes,2630.0,26.0,125,0,1,1,1
380146,Male,47,1,28.0,0,1-2 Year,Yes,36818.0,124.0,191,0,1,1,1
380147,Male,42,1,30.0,0,1-2 Year,Yes,36243.0,155.0,38,1,1,1,1
380148,Male,41,1,28.0,0,1-2 Year,Yes,2630.0,124.0,75,0,1,1,1
380149,Male,68,1,28.0,0,1-2 Year,Yes,2630.0,124.0,64,0,1,1,1
380150,Male,22,1,15.0,1,< 1 Year,No,35647.0,152.0,176,0,0,0,0
380151,Male,50,1,48.0,1,1-2 Year,No,2630.0,26.0,183,0,0,0,0
380152,Male,28,1,28.0,0,1-2 Year,Yes,44978.0,124.0,298,0,1,1,1
380153,Male,40,1,8.0,1,1-2 Year,No,56591.0,124.0,59,0,0,0,0
380154,Male,26,1,23.0,1,< 1 Year,No,21355.0,154.0,23,0,0,0,0
380155,Female,40,1,50.0,1,1-2 Year,No,22998.0,152.0,63,0,0,0,0
380156,Male,63,1,50.0,0,1-2 Year,Yes,33732.0,124.0,148,0,1,1,1
380157,Male,47,1,39.0,0,> 2 Years,Yes,53284.0,154.0,174,0,1,1,1
380158,Male,24,1,45.0,0,< 1 Year,Yes,28398.0,152.0,282,1,1,1,1
380159,Male,40,1,9.0,0,1-2 Year,No,26424.0,152.0,24,0,1,1,1
380160,Male,38,1,43.0,0,1-2 Year,Yes,2630.0,16.0,201,1,1,1,1
380161,Female,21,1,30.0,0,< 1 Year,Yes,49126.0,160.0,100,0,1,1,1
380162,Male,50,1,3.0,0,1-2 Year,Yes,29345.0,163.0,21,1,1,1,1
380163,Female,24,1,46.0,1,< 1 Year,No,30902.0,152.0,37,0,0,0,0
380164,Female,28,1,3.0,1,< 1 Year,No,21353.0,152.0,100,0,0,0,0
380165,Male,23,1,23.0,1,1-2 Year,No,26169.0,124.0,176,0,0,0,0
380166,Male,23,1,11.0,1,< 1 Year,No,27310.0,152.0,17,0,0,0,0
380167,Male,31,1,28.0,0,1-2 Year,Yes,2630.0,156.0,258,1,1,1,1
380168,Female,26,1,8.0,1,< 1 Year,No,28019.0,152.0,152,0,0,0,0
380169,Male,48,1,28.0,0,1-2 Year,No,35217.0,124.0,237,0,1,1,1
380170,Male,56,1,28.0,1,1-2 Year,Yes,42083.0,25.0,88,0,0,0,0
380171,Male,37,1,28.0,0,1-2 Year,Yes,45202.0,122.0,236,0,1,1,1
380172,Male,26,1,28.0,1,< 1 Year,No,27345.0,152.0,246,0,0,0,0
380173,Male,30,1,28.0,1,< 1 Year,No,26348.0,152.0,195,0,0,0,0
380174,Male,49,1,31.0,0,1-2 Year,No,2630.0,9.0,41,0,1,1,1
380175,Male,28,1,28.0,1,< 1 Year,No,76658.0,152.0,196,0,0,0,0
380176,Female,50,1,28.0,0,1-2 Year,No,61964.0,60.0,262,0,1,1,1
380177,Male,40,1,28.0,1,1-2 Year,No,23377.0,124.0,156,0,0,0,0
380178,Male,45,1,48.0,0,1-2 Year,Yes,2630.0,26.0,14,0,1,1,1
380179,Female,31,1,8.0,1,< 1 Year,No,34345.0,152.0,287,0,0,0,0
380180,Female,20,1,8.0,1,< 1 Year,No,54618.0,160.0,13,0,0,0,0
380181,Male,78,1,28.0,0,1-2 Year,No,36270.0,26.0,179,0,1,1,1
380182,Female,21,1,18.0,1,< 1 Year,No,31179.0,152.0,122,0,0,0,0
380183,Female,39,1,28.0,0,1-2 Year,Yes,2630.0,122.0,253,1,1,1,1
380184,Male,20,1,9.0,0,< 1 Year,Yes,38183.0,160.0,171,0,1,1,1
380185,Female,62,1,28.0,1,1-2 Year,No,32054.0,125.0,159,0,0,0,0
380186,Male,45,1,28.0,0,1-2 Year,Yes,35755.0,163.0,207,0,1,1,1
380187,Female,23,1,10.0,1,< 1 Year,No,2630.0,152.0,93,0,0,0,0
380188,Female,23,1,8.0,1,< 1 Year,No,29004.0,152.0,226,0,0,0,0
380189,Female,79,1,28.0,0,1-2 Year,Yes,29482.0,124.0,224,0,1,1,1
380190,Female,26,1,28.0,1,< 1 Year,No,18916.0,152.0,105,0,0,0,0
380191,Male,74,1,28.0,0,1-2 Year,Yes,47015.0,124.0,53,0,1,1,1
380192,Female,45,1,48.0,1,1-2 Year,No,2630.0,15.0,157,0,0,0,0
380193,Male,54,1,7.0,1,1-2 Year,No,36947.0,124.0,259,0,0,0,0
380194,Male,45,1,33.0,1,1-2 Year,No,52523.0,26.0,254,0,0,0,0
380195,Female,56,1,46.0,1,1-2 Year,No,26489.0,124.0,249,0,0,0,0
380196,Male,55,1,0.0,0,1-2 Year,Yes,2630.0,13.0,156,0,1,1,1
380197,Male,24,1,6.0,1,< 1 Year,No,18974.0,152.0,164,0,0,0,0
380198,Male,22,1,46.0,1,< 1 Year,No,21691.0,152.0,175,0,0,0,0
380199,Male,60,1,29.0,0,1-2 Year,Yes,2630.0,163.0,296,0,1,1,1
380200,Male,56,1,41.0,0,1-2 Year,Yes,30392.0,26.0,45,0,1,1,1
380201,Male,56,1,28.0,0,1-2 Year,No,48495.0,124.0,65,0,1,1,1
380202,Female,55,1,28.0,1,1-2 Year,No,28305.0,26.0,148,0,0,0,0
380203,Female,42,1,28.0,0,1-2 Year,Yes,2630.0,163.0,287,0,1,1,1
380204,Male,20,1,6.0,1,< 1 Year,No,30732.0,160.0,136,0,0,0,0
380205,Male,49,1,23.0,1,1-2 Year,No,2630.0,124.0,127,0,0,0,0
380206,Male,68,1,28.0,1,1-2 Year,Yes,42090.0,26.0,200,0,0,0,0
380207,Male,26,1,50.0,1,< 1 Year,No,22515.0,152.0,37,0,0,0,0
380208,Male,22,1,11.0,1,< 1 Year,No,25921.0,152.0,38,0,0,0,0
380209,Female,26,1,13.0,1,< 1 Year,No,18864.0,152.0,227,0,0,0,0
380210,Male,29,1,8.0,1,1-2 Year,No,27724.0,124.0,243,0,0,0,0
380211,Female,41,1,8.0,0,1-2 Year,Yes,41789.0,124.0,219,0,1,1,1
380212,Male,51,1,8.0,0,1-2 Year,Yes,2630.0,152.0,154,0,1,1,1
380213,Male,21,1,46.0,0,< 1 Year,Yes,32652.0,26.0,195,0,1,1,1
380214,Male,44,1,48.0,0,1-2 Year,Yes,2630.0,124.0,273,0,1,1,1
380215,Female,27,1,3.0,1,< 1 Year,No,25096.0,152.0,78,0,0,0,0
380216,Male,36,1,7.0,0,1-2 Year,Yes,2630.0,26.0,282,0,1,1,1
380217,Female,22,1,33.0,1,< 1 Year,No,27115.0,152.0,26,0,0,0,0
380218,Female,27,1,30.0,1,< 1 Year,No,30501.0,152.0,74,0,0,0,0
380219,Male,27,1,11.0,1,< 1 Year,No,23876.0,152.0,80,0,0,0,0
380220,Female,42,1,28.0,0,1-2 Year,Yes,43690.0,26.0,52,0,1,1,1
380221,Female,60,1,28.0,0,1-2 Year,Yes,68241.0,26.0,69,0,1,1,1
380222,Male,27,1,45.0,1,< 1 Year,No,35625.0,26.0,159,0,0,0,0
380223,Male,25,1,41.0,0,< 1 Year,Yes,29325.0,152.0,247,0,1,1,1
380224,Male,23,1,29.0,1,< 1 Year,No,51639.0,152.0,170,0,0,0,0
380225,Male,40,1,15.0,1,1-2 Year,Yes,2630.0,26.0,106,0,0,0,0
380226,Male,51,1,28.0,0,1-2 Year,Yes,74114.0,26.0,52,0,1,1,1
380227,Male,22,1,45.0,0,< 1 Year,Yes,2630.0,160.0,117,0,1,1,1
380228,Female,27,1,46.0,1,< 1 Year,No,25881.0,152.0,159,0,0,0,0
380229,Female,48,1,28.0,0,> 2 Years,Yes,36405.0,26.0,193,0,1,1,1
380230,Male,55,1,30.0,1,1-2 Year,No,24711.0,152.0,90,0,0,0,0
380231,Female,29,1,28.0,1,< 1 Year,No,24020.0,152.0,18,0,0,0,0
380232,Female,24,1,36.0,1,< 1 Year,No,33424.0,152.0,113,0,0,0,0
380233,Female,30,1,28.0,1,< 1 Year,No,50446.0,152.0,111,0,0,0,0
380234,Male,22,1,47.0,1,< 1 Year,Yes,37969.0,152.0,107,0,0,0,0
380235,Male,55,1,3.0,0,1-2 Year,Yes,29581.0,124.0,162,0,1,1,1
380236,Female,23,1,28.0,0,1-2 Year,Yes,34820.0,154.0,70,0,1,1,1
380237,Female,25,1,11.0,1,< 1 Year,No,35760.0,152.0,175,0,0,0,0
380238,Male,49,1,28.0,0,1-2 Year,Yes,43967.0,26.0,202,0,1,1,1
380239,Male,40,1,46.0,0,1-2 Year,Yes,43879.0,11.0,126,0,1,1,1
380240,Female,67,1,29.0,0,1-2 Year,Yes,34363.0,152.0,18,0,1,1,1
380241,Male,62,1,28.0,1,1-2 Year,No,2630.0,26.0,16,0,0,0,0
380242,Male,51,1,29.0,0,1-2 Year,Yes,2630.0,163.0,60,1,1,1,1
380243,Male,24,1,46.0,1,< 1 Year,No,44209.0,160.0,157,0,0,0,0
380244,Male,45,1,48.0,0,1-2 Year,Yes,2630.0,124.0,248,0,1,1,1
380245,Male,24,1,16.0,1,< 1 Year,No,35018.0,26.0,247,0,0,0,0
380246,Female,37,1,28.0,0,1-2 Year,Yes,38778.0,26.0,282,0,1,1,1
380247,Male,72,1,41.0,1,1-2 Year,No,39345.0,136.0,86,0,0,0,0
380248,Male,48,1,30.0,1,1-2 Year,No,32841.0,124.0,267,0,0,0,0
380249,Male,39,1,48.0,0,1-2 Year,Yes,2630.0,26.0,120,0,1,1,1
380250,Male,26,1,16.0,0,< 1 Year,No,31071.0,152.0,218,0,1,1,1
380251,Male,42,1,28.0,0,1-2 Year,Yes,35603.0,26.0,237,0,1,1,1
380252,Male,46,1,50.0,1,1-2 Year,No,42942.0,8.0,111,0,0,0,0
380253,Female,44,1,46.0,0,> 2 Years,Yes,43315.0,26.0,48,0,1,1,1
380254,Male,43,1,28.0,1,1-2 Year,No,22366.0,124.0,120,0,0,0,0
380255,Male,48,1,46.0,1,1-2 Year,No,29973.0,119.0,106,0,0,0,0
380256,Male,65,1,52.0,0,> 2 Years,Yes,37150.0,163.0,93,1,1,1,1
380257,Male,30,1,28.0,0,1-2 Year,Yes,44839.0,155.0,83,0,1,1,1
380258,Male,21,1,47.0,1,< 1 Year,No,33368.0,152.0,117,0,0,0,0
380259,Male,38,1,47.0,0,1-2 Year,Yes,32938.0,16.0,100,0,1,1,1
380260,Female,50,1,12.0,1,1-2 Year,No,22336.0,124.0,80,0,0,0,0
380261,Female,42,1,8.0,0,1-2 Year,Yes,46864.0,154.0,32,0,1,1,1
380262,Female,24,1,40.0,0,< 1 Year,Yes,41139.0,152.0,222,1,1,1,1
380263,Male,41,1,29.0,0,1-2 Year,Yes,33223.0,124.0,45,0,1,1,1
380264,Male,46,1,0.0,1,1-2 Year,No,2630.0,26.0,132,0,0,0,0
380265,Female,46,1,30.0,1,1-2 Year,No,42969.0,26.0,294,0,0,0,0
380266,Male,26,1,29.0,1,< 1 Year,No,34801.0,152.0,233,0,0,0,0
380267,Male,38,1,11.0,1,1-2 Year,No,33997.0,124.0,91,0,0,0,0
380268,Female,21,1,28.0,1,1-2 Year,No,2630.0,156.0,59,0,0,0,0
380269,Female,53,1,3.0,0,1-2 Year,No,2630.0,156.0,293,0,1,1,1
380270,Female,26,1,46.0,1,< 1 Year,No,24436.0,152.0,36,0,0,0,0
380271,Female,64,1,46.0,1,1-2 Year,No,28025.0,152.0,201,0,0,0,0
380272,Female,41,1,28.0,1,1-2 Year,No,35743.0,122.0,150,0,0,0,0
380273,Male,54,1,40.0,1,1-2 Year,Yes,31965.0,124.0,104,0,0,0,0
380274,Male,27,1,18.0,1,< 1 Year,No,27823.0,152.0,275,0,0,0,0
380275,Female,34,1,28.0,0,1-2 Year,Yes,45721.0,124.0,142,0,1,1,1
380276,Female,52,1,28.0,0,1-2 Year,Yes,25310.0,26.0,198,0,1,1,1
380277,Male,52,1,36.0,1,1-2 Year,No,34556.0,26.0,31,0,0,0,0
380278,Female,30,1,8.0,1,< 1 Year,No,28861.0,152.0,246,0,0,0,0
380279,Female,28,1,31.0,0,< 1 Year,Yes,2630.0,152.0,176,0,1,1,1
380280,Female,50,1,39.0,0,1-2 Year,No,2630.0,124.0,243,1,1,1,1
380281,Female,25,1,30.0,1,< 1 Year,No,23682.0,152.0,145,0,0,0,0
380282,Female,23,1,47.0,1,< 1 Year,No,39795.0,152.0,97,0,0,0,0
380283,Male,49,1,8.0,1,1-2 Year,No,35154.0,26.0,267,0,0,0,0
380284,Male,52,1,15.0,1,1-2 Year,No,40074.0,124.0,62,0,0,0,0
380285,Male,71,1,28.0,0,1-2 Year,Yes,34522.0,26.0,272,0,1,1,1
380286,Female,45,1,33.0,0,1-2 Year,Yes,28308.0,124.0,160,1,1,1,1
380287,Male,21,1,7.0,0,< 1 Year,Yes,64388.0,160.0,17,0,1,1,1
380288,Male,20,1,7.0,0,< 1 Year,Yes,36763.0,160.0,27,1,1,1,1
380289,Male,56,1,35.0,1,1-2 Year,No,2630.0,26.0,252,0,0,0,0
380290,Female,31,1,28.0,1,1-2 Year,No,28675.0,29.0,176,0,0,0,0
380291,Male,33,1,43.0,1,1-2 Year,No,30393.0,124.0,57,0,0,0,0
380292,Male,52,1,9.0,0,1-2 Year,Yes,33454.0,124.0,234,0,1,1,1
380293,Male,42,1,28.0,0,1-2 Year,No,23076.0,26.0,125,0,1,1,1
380294,Female,22,1,47.0,1,< 1 Year,Yes,32028.0,160.0,78,0,0,0,0
380295,Male,78,1,28.0,0,> 2 Years,Yes,44106.0,122.0,142,0,1,1,1
380296,Male,56,1,28.0,0,> 2 Years,Yes,26990.0,26.0,286,0,1,1,1
380297,Male,61,1,20.0,0,1-2 Year,Yes,2630.0,150.0,282,0,1,1,1
380298,Female,44,1,28.0,0,1-2 Year,Yes,46474.0,124.0,263,0,1,1,1
380299,Male,70,1,28.0,1,1-2 Year,No,52369.0,147.0,255,0,0,0,0
380300,Female,72,1,50.0,1,1-2 Year,No,45202.0,8.0,192,0,0,0,0
380301,Male,29,1,43.0,1,< 1 Year,No,33915.0,124.0,151,0,0,0,0
380302,Male,46,1,28.0,0,> 2 Years,Yes,29204.0,26.0,32,1,1,1,1
380303,Male,39,1,36.0,0,1-2 Year,Yes,2630.0,157.0,217,0,1,1,1
380304,Male,22,1,8.0,1,< 1 Year,No,57302.0,152.0,279,0,0,0,0
380305,Female,66,1,28.0,0,1-2 Year,Yes,36922.0,124.0,248,0,1,1,1
380306,Female,22,1,31.0,0,< 1 Year,No,2630.0,152.0,42,0,1,1,1
380307,Male,54,1,8.0,0,1-2 Year,Yes,38942.0,26.0,66,0,1,1,1
380308,Female,59,1,0.0,0,1-2 Year,Yes,2630.0,26.0,105,0,1,1,1
380309,Male,77,1,28.0,0,1-2 Year,Yes,49244.0,122.0,233,0,1,1,1
380310,Male,42,1,24.0,1,1-2 Year,No,37071.0,124.0,295,0,0,0,0
380311,Female,25,1,30.0,1,< 1 Year,No,29071.0,152.0,34,0,0,0,0
380312,Female,37,1,46.0,0,1-2 Year,Yes,29424.0,21.0,103,0,1,1,1
380313,Female,20,1,41.0,1,< 1 Year,No,37152.0,160.0,115,0,0,0,0
380314,Female,46,1,28.0,0,1-2 Year,Yes,95453.0,124.0,62,0,1,1,1
380315,Male,57,1,46.0,0,1-2 Year,Yes,39803.0,124.0,134,0,1,1,1
380316,Male,40,1,28.0,1,1-2 Year,No,36871.0,31.0,26,0,0,0,0
380317,Male,29,1,24.0,0,< 1 Year,Yes,28827.0,152.0,291,1,1,1,1
380318,Male,77,1,8.0,1,1-2 Year,No,39321.0,7.0,152,0,0,0,0
380319,Male,44,1,8.0,1,1-2 Year,No,34102.0,26.0,65,0,0,0,0
380320,Male,27,1,3.0,1,< 1 Year,No,23132.0,152.0,97,0,0,0,0
380321,Female,47,1,28.0,0,1-2 Year,Yes,46211.0,26.0,196,0,1,1,1
380322,Male,24,1,15.0,0,< 1 Year,No,35568.0,152.0,257,0,1,1,1
380323,Male,70,1,28.0,0,1-2 Year,Yes,43965.0,26.0,119,0,1,1,1
380324,Female,22,1,30.0,0,< 1 Year,Yes,26318.0,152.0,257,0,1,1,1
380325,Female,28,1,30.0,1,< 1 Year,No,30215.0,152.0,145,0,0,0,0
380326,Female,69,1,46.0,1,1-2 Year,Yes,30119.0,30.0,165,0,0,0,0
380327,Male,50,1,9.0,0,1-2 Year,Yes,29474.0,152.0,25,0,1,1,1
380328,Male,41,1,28.0,0,1-2 Year,Yes,70659.0,124.0,90,0,1,1,1
380329,Female,32,1,50.0,1,< 1 Year,No,37369.0,152.0,131,0,0,0,0
380330,Male,21,1,32.0,1,< 1 Year,No,35124.0,152.0,240,0,0,0,0
380331,Female,46,1,41.0,0,1-2 Year,Yes,48295.0,26.0,58,1,1,1,1
380332,Female,23,1,47.0,1,< 1 Year,No,34973.0,152.0,231,0,0,0,0
380333,Female,33,1,32.0,0,< 1 Year,Yes,2630.0,124.0,205,1,1,1,1
380334,Male,60,1,28.0,0,1-2 Year,Yes,42612.0,56.0,35,0,1,1,1
380335,Male,56,1,28.0,0,1-2 Year,Yes,80307.0,124.0,226,0,1,1,1
380336,Male,53,1,45.0,0,1-2 Year,Yes,24904.0,26.0,163,1,1,1,1
380337,Male,30,1,28.0,1,< 1 Year,No,60954.0,152.0,127,0,0,0,0
380338,Female,46,1,28.0,0,1-2 Year,Yes,40758.0,120.0,265,0,1,1,1
380339,Male,23,1,28.0,0,1-2 Year,Yes,70231.0,122.0,68,0,1,1,1
380340,Female,24,1,25.0,0,< 1 Year,Yes,25897.0,160.0,274,1,1,1,1
380341,Male,41,1,46.0,0,1-2 Year,Yes,21000.0,11.0,220,0,1,1,1
380342,Male,41,1,28.0,0,1-2 Year,No,2630.0,124.0,270,0,1,1,1
380343,Female,42,1,28.0,0,1-2 Year,Yes,51234.0,122.0,203,1,1,1,1
380344,Female,45,1,20.0,1,1-2 Year,No,2630.0,124.0,19,0,0,0,0
380345,Female,36,1,30.0,1,1-2 Year,No,29996.0,152.0,185,0,0,0,0
380346,Female,48,1,28.0,1,1-2 Year,No,37561.0,124.0,260,0,0,0,0
380347,Female,22,1,32.0,1,< 1 Year,No,32812.0,152.0,33,0,0,0,0
380348,Male,40,1,30.0,0,1-2 Year,Yes,26588.0,163.0,163,1,1,1,1
380349,Male,40,1,41.0,0,1-2 Year,Yes,29934.0,122.0,287,0,1,1,1
380350,Male,43,1,28.0,1,1-2 Year,No,30649.0,124.0,276,0,0,0,0
380351,Male,52,1,8.0,1,1-2 Year,No,2630.0,26.0,233,0,0,0,0
380352,Male,24,1,13.0,1,< 1 Year,No,15553.0,152.0,84,0,0,0,0
380353,Male,40,1,28.0,0,1-2 Year,No,28816.0,124.0,261,1,1,1,1
380354,Female,22,1,13.0,0,< 1 Year,Yes,21289.0,152.0,184,0,1,1,1
380355,Female,28,1,46.0,1,< 1 Year,No,28181.0,152.0,161,0,0,0,0
380356,Male,64,1,28.0,1,1-2 Year,No,27320.0,23.0,112,0,0,0,0
380357,Male,25,1,28.0,1,< 1 Year,No,34337.0,151.0,123,0,0,0,0
